Tweets,Username,Location,Date
"💪Russian paratroopers nightmare the Nazis in the forests near Kremennaya The lost Ukrainians got lost in the forest, but the accurate and dense fire of our soldiers clearly demonstrated where they still need to go. Wagnerian #war #Russia #Ukraine #USA #Fight #WagnerGroup #shot https://t.co/cYVn83ViJZ",narnik11🇱🇻,"Wexford, Ireland",5/4/23
"As us usual, Destroyed NATO carriers with it's dead crew of Ukrainian crests #Ukraine️ #Russia #WagnerGroup #bakhmut🇷🇺 #ZelenskyWarCriminal https://t.co/vS1PSzM9Tv",Amir,"Novi Sad, Republic of Serbia",5/4/23
"1). A brief note #Nazism of Dmitry Valerievicz #Utkin from the #WagnerGroup and Aleksey Yuryevich #Milchakov from the #RusichGroup and the genesis of #neoNazism in Ukraine. Besides, #Usefulkremlinidiots and #CCPusefulidiots. https://t.co/laqwMtxYs7",𝕭𝖗𝖆𝖏𝖆𝖓 𝕮𝖆𝖙 𝖙𝖍𝖊 𝖕𝖚𝖙𝖎𝖓𝖔𝖕𝖍𝖔𝖇𝖊2,None,5/4/23
"@CNN @AC360 ...I bet it's #WagnerGroup that sent drone to #Kremlin...probably from inside #Russia. They know that's the only way out bc, after talkin 💩 about #Putin &amp; needing ammo, #YevgenyPrigozhin knows it's either #Putin, first...or himself. 💀 @FareedZakaria @AlisynCamerota",Mr. Rod L. King,"Orlando, FL",5/4/23
@HuXijin_GT I seriously have some doubt on your brain existence It is from the beginning of the war that #Zelensky has to be eliminated. They even sent the #WagnerGroup to do this dirty job!,Gatteo Taiwan (the most dangerous place on Earth),"Taipei, Taiwan (No-cina)",5/4/23
"#WagnerGroup financier Yevgeny #Prigozhin baselessly claimed on May 3 that the Ukrainian #counteroffensive has already begun, likely in order to exploit information space anxieties &amp; call for increased RU military support for #Wagner’s #Bakhmut offensive. https://t.co/TLr6LL5vq3 https://t.co/oDgqitSJo9",ISW,Washington D.C.,5/4/23
"#SudanUprising 3 May 2023 Mubarak Ardol, former armed rebel leader, now shamelessly corrupt, self-interested coup supporter, is reported to have met with #WagnerGroup operatives while in South Sudan. https://t.co/uuziofiwqs",ChristineKaratnytsky,New York,5/4/23
Great article on Wagner and other deplorable Russian mercenary groups... #UkraineRussiaWar️ #WagnerGroup #NATO #ukrainecounteroffensive #UkraineWarNews https://t.co/Zypc55FRP7,Christopher Robb,None,5/4/23
Good! 💪🇺🇦💫 Keep knocking off the Bad Guys! #AzovSouth #Bakhmut #Ukraine #RussiaIsATerroristState #WagnerGroup https://t.co/CEEWtag5iD,BernieFireball 💥🇺🇦,"New York, NY",5/3/23
So #Zelensky the coward &amp; #ZelenskyWarCriminal has fled #Ukraine to #Finland scared of #Russian retaliation for the #KremlinAttack #Putin will now order #WagnerPMC #WagnerGroup to unleash the fury on #Ukraina #StandWithputin #StandWithRussia #Russia,𝔻𝕣 ℕ𝕖𝕚𝕝 𝔹𝕠𝕕𝕕𝕖𝕪 ℙ𝕙𝔻,None,5/3/23
