Year,measure,variable,value
1835,vinearea,France,2119
1836,vinearea,France,0
1837,vinearea,France,0
1838,vinearea,France,0
1839,vinearea,France,0
1840,vinearea,France,2145
1841,vinearea,France,0
1842,vinearea,France,0
1843,vinearea,France,0
1844,vinearea,France,0
1845,vinearea,France,2169
1846,vinearea,France,0
1847,vinearea,France,0
1848,vinearea,France,0
1849,vinearea,France,2207
1850,vinearea,France,2198
1851,vinearea,France,2196
1852,vinearea,France,2175
1853,vinearea,France,2185
1854,vinearea,France,2189
1855,vinearea,France,2191
1856,vinearea,France,2187
1857,vinearea,France,2196
1858,vinearea,France,2200
1859,vinearea,France,2190
1860,vinearea,France,2222
1861,vinearea,France,2236
1862,vinearea,France,2253
1863,vinearea,France,2291
1864,vinearea,France,2273
1865,vinearea,France,2311
1866,vinearea,France,2305
1867,vinearea,France,2332
1868,vinearea,France,2350
1869,vinearea,France,2368
1870,vinearea,France,2255
1871,vinearea,France,2416
1872,vinearea,France,2420
1873,vinearea,France,2428
1874,vinearea,France,2494
1875,vinearea,France,2468
1876,vinearea,France,2417
1877,vinearea,France,2393
1878,vinearea,France,2342
1879,vinearea,France,2288
1880,vinearea,France,2251
1881,vinearea,France,2115
1882,vinearea,France,2227
1883,vinearea,France,2142
1884,vinearea,France,2086
1885,vinearea,France,2036
1886,vinearea,France,2004
1887,vinearea,France,1989
1888,vinearea,France,1887
1889,vinearea,France,1861
1890,vinearea,France,1860
1891,vinearea,France,1808
1892,vinearea,France,1831
1893,vinearea,France,1838
1894,vinearea,France,1811
1895,vinearea,France,1791
1896,vinearea,France,1772
1897,vinearea,France,1733
1898,vinearea,France,1750
1899,vinearea,France,1741
1900,vinearea,France,1774
1901,vinearea,France,1781
1902,vinearea,France,1777
1903,vinearea,France,1733
1904,vinearea,France,1684
1905,vinearea,France,1713
1906,vinearea,France,1808
1907,vinearea,France,1692
1908,vinearea,France,1697
1909,vinearea,France,1668
1910,vinearea,France,1659
1911,vinearea,France,1634
1912,vinearea,France,1591
1913,vinearea,France,1577
1914,vinearea,France,1560
1915,vinearea,France,1557
1916,vinearea,France,1542
1917,vinearea,France,1541
1918,vinearea,France,1535
1919,vinearea,France,1505
1920,vinearea,France,1518
1921,vinearea,France,1517
1922,vinearea,France,1527
1923,vinearea,France,1537
1924,vinearea,France,1550
1925,vinearea,France,1542
1926,vinearea,France,1525
1927,vinearea,France,1506
1928,vinearea,France,1516
1929,vinearea,France,1511
1930,vinearea,France,1527
1931,vinearea,France,1550
1932,vinearea,France,1541
1933,vinearea,France,1534
1934,vinearea,France,1556
1935,vinearea,France,1511
1936,vinearea,France,1518
1937,vinearea,France,1513
1938,vinearea,France,1520
1939,vinearea,France,1494
1940,vinearea,France,1470
1941,vinearea,France,1453
1942,vinearea,France,1434
1943,vinearea,France,1422
1944,vinearea,France,1403
1945,vinearea,France,1434
1946,vinearea,France,1436
1947,vinearea,France,1440
1948,vinearea,France,1433
1949,vinearea,France,1437
1950,vinearea,France,1453
1951,vinearea,France,1450
1952,vinearea,France,1455
1953,vinearea,France,1455
1954,vinearea,France,1445
1955,vinearea,France,1435
1956,vinearea,France,1386
1957,vinearea,France,1335
1958,vinearea,France,1315
1959,vinearea,France,1323
1960,vinearea,France,1318
1961,vinearea,France,1285
1962,vinearea,France,1287
1963,vinearea,France,1271
1964,vinearea,France,1270
1965,vinearea,France,1263
1966,vinearea,France,1250
1967,vinearea,France,1240
1968,vinearea,France,1228
1969,vinearea,France,1208
1970,vinearea,France,1200
1971,vinearea,France,1173
1972,vinearea,France,1174
1973,vinearea,France,1181
1974,vinearea,France,1179
1975,vinearea,France,1186
1976,vinearea,France,1189
1977,vinearea,France,1168
1978,vinearea,France,1141
1979,vinearea,France,1131
1980,vinearea,France,1081
1981,vinearea,France,1052
1982,vinearea,France,1040
1983,vinearea,France,1022
1984,vinearea,France,1005
1985,vinearea,France,995
1986,vinearea,France,978
1987,vinearea,France,967
1988,vinearea,France,958
1989,vinearea,France,948
1990,vinearea,France,939
1991,vinearea,France,935
1992,vinearea,France,948
1993,vinearea,France,940
1994,vinearea,France,933
1995,vinearea,France,927
1996,vinearea,France,919
1997,vinearea,France,914
1998,vinearea,France,913
1999,vinearea,France,914
2000,vinearea,France,861
2001,vinearea,France,861
2002,vinearea,France,862
2003,vinearea,France,851
2004,vinearea,France,852
2005,vinearea,France,855
2006,vinearea,France,885
2007,vinearea,France,829
2008,vinearea,France,813
2009,vinearea,France,810
2010,vinearea,France,772
2011,vinearea,France,764
2012,vinearea,France,761
2013,vinearea,France,761
2014,vinearea,France,758
2015,vinearea,France,786
2016,vinearea,France,785
2017,vinearea,France,788
2018,vinearea,France,793
1894,vinearea,Italy,3451
1895,vinearea,Italy,3462
1896,vinearea,Italy,3446
1897,vinearea,Italy,0
1898,vinearea,Italy,0
1899,vinearea,Italy,0
1900,vinearea,Italy,3990
1901,vinearea,Italy,3990
1902,vinearea,Italy,4000
1903,vinearea,Italy,4010
1904,vinearea,Italy,3991
1905,vinearea,Italy,4046
1906,vinearea,Italy,3779
1907,vinearea,Italy,3768
1908,vinearea,Italy,3759
1909,vinearea,Italy,4455
1910,vinearea,Italy,4455
1911,vinearea,Italy,4453
1912,vinearea,Italy,4431
1913,vinearea,Italy,4429
1914,vinearea,Italy,4413
1915,vinearea,Italy,4412
1916,vinearea,Italy,4336
1917,vinearea,Italy,4317
1918,vinearea,Italy,4136
1919,vinearea,Italy,4264
1920,vinearea,Italy,4236
1921,vinearea,Italy,4218
1922,vinearea,Italy,4274
1923,vinearea,Italy,4273
1924,vinearea,Italy,4277
1925,vinearea,Italy,4264
1926,vinearea,Italy,4283
1927,vinearea,Italy,4279
1928,vinearea,Italy,4399
1929,vinearea,Italy,4294
1930,vinearea,Italy,4240
1931,vinearea,Italy,3947
1932,vinearea,Italy,3944
1933,vinearea,Italy,3945
1934,vinearea,Italy,3962
1935,vinearea,Italy,3958
1936,vinearea,Italy,3918
1937,vinearea,Italy,3907
1938,vinearea,Italy,3910
1939,vinearea,Italy,3936
1940,vinearea,Italy,3934
1941,vinearea,Italy,3947
1942,vinearea,Italy,3927
1943,vinearea,Italy,3934
1944,vinearea,Italy,3891
1945,vinearea,Italy,3879
1946,vinearea,Italy,3880
1947,vinearea,Italy,3826
1948,vinearea,Italy,3891
1949,vinearea,Italy,3918
1950,vinearea,Italy,3921
1951,vinearea,Italy,3936
1952,vinearea,Italy,3935
1953,vinearea,Italy,3886
1954,vinearea,Italy,3886
1955,vinearea,Italy,3849
1956,vinearea,Italy,3850
1957,vinearea,Italy,3741
1958,vinearea,Italy,3748
1959,vinearea,Italy,3712
1960,vinearea,Italy,3659
1961,vinearea,Italy,3610
1962,vinearea,Italy,3562
1963,vinearea,Italy,3449
1964,vinearea,Italy,3360
1965,vinearea,Italy,3276
1966,vinearea,Italy,3193
1967,vinearea,Italy,3119
1968,vinearea,Italy,3011
1969,vinearea,Italy,2685
1970,vinearea,Italy,1840
1971,vinearea,Italy,1840
1972,vinearea,Italy,1851
1973,vinearea,Italy,1838
1974,vinearea,Italy,1831
1975,vinearea,Italy,1828
1976,vinearea,Italy,1805
1977,vinearea,Italy,1762
1978,vinearea,Italy,1731
1979,vinearea,Italy,1699
1980,vinearea,Italy,1672
1981,vinearea,Italy,1632
1982,vinearea,Italy,1583
1983,vinearea,Italy,1057
1984,vinearea,Italy,1048
1985,vinearea,Italy,1048
1986,vinearea,Italy,1013
1987,vinearea,Italy,1003
1988,vinearea,Italy,994
1989,vinearea,Italy,985
1990,vinearea,Italy,971
1991,vinearea,Italy,943
1992,vinearea,Italy,890
1993,vinearea,Italy,867
1994,vinearea,Italy,877
1995,vinearea,Italy,896
1996,vinearea,Italy,847
1997,vinearea,Italy,837
1998,vinearea,Italy,827
1999,vinearea,Italy,836
2000,vinearea,Italy,836
2001,vinearea,Italy,818
2002,vinearea,Italy,798
2003,vinearea,Italy,789
2004,vinearea,Italy,715
2005,vinearea,Italy,719
2006,vinearea,Italy,714
2007,vinearea,Italy,712
2008,vinearea,Italy,732
2009,vinearea,Italy,730
2010,vinearea,Italy,710
2011,vinearea,Italy,694
2012,vinearea,Italy,697
2013,vinearea,Italy,676
2014,vinearea,Italy,682
2015,vinearea,Italy,673
2016,vinearea,Italy,668
2017,vinearea,Italy,699
2018,vinearea,Italy,702
1835,vinearea,Portugal,0
1836,vinearea,Portugal,0
1837,vinearea,Portugal,0
1838,vinearea,Portugal,0
1843,vinearea,Portugal,0
1844,vinearea,Portugal,0
1845,vinearea,Portugal,0
1846,vinearea,Portugal,0
1847,vinearea,Portugal,0
1848,vinearea,Portugal,0
1849,vinearea,Portugal,0
1850,vinearea,Portugal,0
1851,vinearea,Portugal,0
1852,vinearea,Portugal,0
1853,vinearea,Portugal,0
1854,vinearea,Portugal,0
1855,vinearea,Portugal,0
1856,vinearea,Portugal,0
1857,vinearea,Portugal,0
1858,vinearea,Portugal,0
1859,vinearea,Portugal,0
1860,vinearea,Portugal,0
1861,vinearea,Portugal,0
1862,vinearea,Portugal,0
1863,vinearea,Portugal,0
1864,vinearea,Portugal,0
1865,vinearea,Portugal,0
1866,vinearea,Portugal,0
1867,vinearea,Portugal,204
1868,vinearea,Portugal,189
1869,vinearea,Portugal,0
1870,vinearea,Portugal,262
1871,vinearea,Portugal,0
1872,vinearea,Portugal,0
1873,vinearea,Portugal,204
1874,vinearea,Portugal,204
1875,vinearea,Portugal,204
1876,vinearea,Portugal,0
1877,vinearea,Portugal,0
1878,vinearea,Portugal,0
1879,vinearea,Portugal,0
1880,vinearea,Portugal,0
1881,vinearea,Portugal,0
1882,vinearea,Portugal,0
1883,vinearea,Portugal,350
1884,vinearea,Portugal,0
1885,vinearea,Portugal,0
1886,vinearea,Portugal,0
1887,vinearea,Portugal,0
1888,vinearea,Portugal,0
1889,vinearea,Portugal,0
1890,vinearea,Portugal,0
1891,vinearea,Portugal,0
1892,vinearea,Portugal,0
1893,vinearea,Portugal,0
1953,vinearea,Portugal,290
1954,vinearea,Portugal,296
1955,vinearea,Portugal,291
1956,vinearea,Portugal,287
1957,vinearea,Portugal,289
1958,vinearea,Portugal,280
1959,vinearea,Portugal,260
1960,vinearea,Portugal,240
1961,vinearea,Portugal,225
1962,vinearea,Portugal,240
1963,vinearea,Portugal,245
1964,vinearea,Portugal,250
1965,vinearea,Portugal,250
1966,vinearea,Portugal,255
1967,vinearea,Portugal,255
1968,vinearea,Portugal,255
1969,vinearea,Portugal,255
1970,vinearea,Portugal,255
1971,vinearea,Portugal,260
1972,vinearea,Portugal,260
1973,vinearea,Portugal,260
1974,vinearea,Portugal,260
1975,vinearea,Portugal,260
1976,vinearea,Portugal,260
1977,vinearea,Portugal,260
1978,vinearea,Portugal,275
1979,vinearea,Portugal,275
1980,vinearea,Portugal,250
1981,vinearea,Portugal,250
1982,vinearea,Portugal,255
1983,vinearea,Portugal,255
1984,vinearea,Portugal,255
1985,vinearea,Portugal,265
1986,vinearea,Portugal,266
1987,vinearea,Portugal,267
1988,vinearea,Portugal,267
1989,vinearea,Portugal,273
1990,vinearea,Portugal,274
1991,vinearea,Portugal,271
1992,vinearea,Portugal,264
1993,vinearea,Portugal,255
1994,vinearea,Portugal,248
1995,vinearea,Portugal,242
1996,vinearea,Portugal,237
1997,vinearea,Portugal,232
1998,vinearea,Portugal,226
1999,vinearea,Portugal,219
2000,vinearea,Portugal,218
2001,vinearea,Portugal,218
2002,vinearea,Portugal,217
2003,vinearea,Portugal,213
2004,vinearea,Portugal,209
2005,vinearea,Portugal,204
2006,vinearea,Portugal,199
2007,vinearea,Portugal,194
2008,vinearea,Portugal,188
2009,vinearea,Portugal,181
2010,vinearea,Portugal,180
2011,vinearea,Portugal,179
2012,vinearea,Portugal,179
2013,vinearea,Portugal,180
2014,vinearea,Portugal,179
2015,vinearea,Portugal,179
2016,vinearea,Portugal,175
2017,vinearea,Portugal,179
2018,vinearea,Portugal,180
1835,vinearea,Spain,0
1836,vinearea,Spain,0
1837,vinearea,Spain,0
1838,vinearea,Spain,0
1839,vinearea,Spain,0
1840,vinearea,Spain,0
1841,vinearea,Spain,0
1842,vinearea,Spain,0
1847,vinearea,Spain,0
1848,vinearea,Spain,0
1849,vinearea,Spain,0
1850,vinearea,Spain,0
1851,vinearea,Spain,0
1852,vinearea,Spain,0
1853,vinearea,Spain,0
1854,vinearea,Spain,0
1855,vinearea,Spain,0
1856,vinearea,Spain,0
1857,vinearea,Spain,0
1858,vinearea,Spain,0
1859,vinearea,Spain,0
1860,vinearea,Spain,0
1861,vinearea,Spain,0
1862,vinearea,Spain,0
1863,vinearea,Spain,0
1864,vinearea,Spain,0
1865,vinearea,Spain,0
1866,vinearea,Spain,0
1867,vinearea,Spain,0
1868,vinearea,Spain,0
1869,vinearea,Spain,0
1870,vinearea,Spain,0
1871,vinearea,Spain,0
1872,vinearea,Spain,0
1873,vinearea,Spain,0
1874,vinearea,Spain,0
1875,vinearea,Spain,0
1876,vinearea,Spain,0
1877,vinearea,Spain,0
1878,vinearea,Spain,0
1879,vinearea,Spain,0
1880,vinearea,Spain,0
1881,vinearea,Spain,0
1882,vinearea,Spain,0
1883,vinearea,Spain,0
1884,vinearea,Spain,0
1885,vinearea,Spain,0
1886,vinearea,Spain,0
1887,vinearea,Spain,0
1888,vinearea,Spain,0
1889,vinearea,Spain,0
1890,vinearea,Spain,0
1891,vinearea,Spain,0
1892,vinearea,Spain,0
1893,vinearea,Spain,0
1894,vinearea,Spain,0
1895,vinearea,Spain,0
1896,vinearea,Spain,0
1897,vinearea,Spain,0
1898,vinearea,Spain,1459
1899,vinearea,Spain,1419
1900,vinearea,Spain,1407
1901,vinearea,Spain,1401
1902,vinearea,Spain,1384
1903,vinearea,Spain,1441
1904,vinearea,Spain,1411
1905,vinearea,Spain,1461
1906,vinearea,Spain,1399
1907,vinearea,Spain,1367
1908,vinearea,Spain,1310
1909,vinearea,Spain,1298
1910,vinearea,Spain,1293
1911,vinearea,Spain,1290
1912,vinearea,Spain,1260
1913,vinearea,Spain,1250
1914,vinearea,Spain,1241
1915,vinearea,Spain,1247
1916,vinearea,Spain,1284
1917,vinearea,Spain,1294
1918,vinearea,Spain,1317
1919,vinearea,Spain,1320
1920,vinearea,Spain,1331
1921,vinearea,Spain,1331
1922,vinearea,Spain,1341
1923,vinearea,Spain,1342
1924,vinearea,Spain,1341
1925,vinearea,Spain,1353
1926,vinearea,Spain,1382
1927,vinearea,Spain,1398
1928,vinearea,Spain,1417
1929,vinearea,Spain,1389
1930,vinearea,Spain,1414
1931,vinearea,Spain,1427
1932,vinearea,Spain,1433
1933,vinearea,Spain,1417
1934,vinearea,Spain,1451
1935,vinearea,Spain,1465
1936,vinearea,Spain,1466
1937,vinearea,Spain,1466
1938,vinearea,Spain,1489
1939,vinearea,Spain,1512
1940,vinearea,Spain,1560
1941,vinearea,Spain,1395
1942,vinearea,Spain,1367
1943,vinearea,Spain,1500
1944,vinearea,Spain,1502
1945,vinearea,Spain,1501
1946,vinearea,Spain,1507
1947,vinearea,Spain,1527
1948,vinearea,Spain,1556
1949,vinearea,Spain,1568
1950,vinearea,Spain,1580
1951,vinearea,Spain,1630
1952,vinearea,Spain,1639
2012,vinearea,Spain,946
2013,vinearea,Spain,944
2014,vinearea,Spain,931
2015,vinearea,Spain,941
2016,vinearea,Spain,940
2017,vinearea,Spain,940
2018,vinearea,Spain,940
1835,vinearea,Austria,54
1836,vinearea,Austria,54
1837,vinearea,Austria,54
1838,vinearea,Austria,54
1839,vinearea,Austria,54
1840,vinearea,Austria,54
1841,vinearea,Austria,54
1842,vinearea,Austria,54
1843,vinearea,Austria,54
1844,vinearea,Austria,54
1845,vinearea,Austria,54
1846,vinearea,Austria,54
1851,vinearea,Austria,54
1852,vinearea,Austria,54
1853,vinearea,Austria,54
1854,vinearea,Austria,54
1855,vinearea,Austria,54
1856,vinearea,Austria,54
1857,vinearea,Austria,54
1858,vinearea,Austria,54
1859,vinearea,Austria,54
1860,vinearea,Austria,54
1861,vinearea,Austria,53
1862,vinearea,Austria,53
1863,vinearea,Austria,53
1864,vinearea,Austria,55
1865,vinearea,Austria,53
1866,vinearea,Austria,55
1867,vinearea,Austria,54
1868,vinearea,Austria,55
1869,vinearea,Austria,54
1870,vinearea,Austria,55
1871,vinearea,Austria,55
1872,vinearea,Austria,54
1873,vinearea,Austria,53
1874,vinearea,Austria,53
1875,vinearea,Austria,52
1876,vinearea,Austria,52
1877,vinearea,Austria,51
1878,vinearea,Austria,50
1879,vinearea,Austria,50
1880,vinearea,Austria,49
1881,vinearea,Austria,40
1882,vinearea,Austria,41
1883,vinearea,Austria,42
1884,vinearea,Austria,43
1885,vinearea,Austria,44
1886,vinearea,Austria,45
1887,vinearea,Austria,46
1888,vinearea,Austria,47
1889,vinearea,Austria,48
1890,vinearea,Austria,49
1891,vinearea,Austria,49
1892,vinearea,Austria,49
1893,vinearea,Austria,49
1894,vinearea,Austria,49
1895,vinearea,Austria,49
1896,vinearea,Austria,49
1897,vinearea,Austria,49
1898,vinearea,Austria,49
1899,vinearea,Austria,49
1900,vinearea,Austria,49
1901,vinearea,Austria,49
1902,vinearea,Austria,46
1903,vinearea,Austria,45
1904,vinearea,Austria,47
1905,vinearea,Austria,45
1906,vinearea,Austria,45
1907,vinearea,Austria,45
1908,vinearea,Austria,49
1909,vinearea,Austria,43
1910,vinearea,Austria,43
1911,vinearea,Austria,43
1912,vinearea,Austria,43
1913,vinearea,Austria,42
1914,vinearea,Austria,42
1915,vinearea,Austria,41
1916,vinearea,Austria,40
1917,vinearea,Austria,39
1918,vinearea,Austria,38
1919,vinearea,Austria,37
1920,vinearea,Austria,37
1921,vinearea,Austria,26
1922,vinearea,Austria,25
1923,vinearea,Austria,32
1924,vinearea,Austria,32
1925,vinearea,Austria,32
1926,vinearea,Austria,34
1927,vinearea,Austria,32
1928,vinearea,Austria,38
1929,vinearea,Austria,31
1930,vinearea,Austria,35
1931,vinearea,Austria,33
1932,vinearea,Austria,30
1933,vinearea,Austria,31
1934,vinearea,Austria,32
1935,vinearea,Austria,34
1936,vinearea,Austria,38
1937,vinearea,Austria,38
1938,vinearea,Austria,40
1939,vinearea,Austria,41
1940,vinearea,Austria,39
1941,vinearea,Austria,40
1942,vinearea,Austria,40
1943,vinearea,Austria,40
1944,vinearea,Austria,40
1945,vinearea,Austria,36
1946,vinearea,Austria,36
1947,vinearea,Austria,35
1948,vinearea,Austria,35
1949,vinearea,Austria,35
1950,vinearea,Austria,35
1951,vinearea,Austria,36
1952,vinearea,Austria,36
1953,vinearea,Austria,37
1954,vinearea,Austria,37
1955,vinearea,Austria,37
1956,vinearea,Austria,37
1957,vinearea,Austria,37
1958,vinearea,Austria,37
1959,vinearea,Austria,35
1960,vinearea,Austria,35
1961,vinearea,Austria,36
1962,vinearea,Austria,36
1963,vinearea,Austria,40
1964,vinearea,Austria,40
1965,vinearea,Austria,45
1966,vinearea,Austria,45
1967,vinearea,Austria,46
1968,vinearea,Austria,46
1969,vinearea,Austria,46
1970,vinearea,Austria,47
1971,vinearea,Austria,48
1972,vinearea,Austria,48
1973,vinearea,Austria,48
1974,vinearea,Austria,50
1975,vinearea,Austria,50
1976,vinearea,Austria,50
1977,vinearea,Austria,50
1978,vinearea,Austria,56
1979,vinearea,Austria,56
1980,vinearea,Austria,59
1981,vinearea,Austria,59
1982,vinearea,Austria,59
1983,vinearea,Austria,59
1984,vinearea,Austria,58
1985,vinearea,Austria,58
1986,vinearea,Austria,58
1987,vinearea,Austria,58
1988,vinearea,Austria,58
1989,vinearea,Austria,58
1990,vinearea,Austria,58
1991,vinearea,Austria,58
1992,vinearea,Austria,58
1993,vinearea,Austria,57
1994,vinearea,Austria,57
1995,vinearea,Austria,52
1996,vinearea,Austria,52
1997,vinearea,Austria,49
1998,vinearea,Austria,49
1999,vinearea,Austria,50
2000,vinearea,Austria,48
2001,vinearea,Austria,46
2002,vinearea,Austria,45
2003,vinearea,Austria,45
2004,vinearea,Austria,44
2005,vinearea,Austria,46
